id,nombre_sitio,delegacion,latitud,longitud,profundidad_naf_m,intensidad_calor,categoria_evidencia,tipo_suelo_geologia,fuente_documental,verificacion
P01,Torre Cosmopolitan / Paseo de los Héroes,Centro - Zona Río,32.5284,-117.0225,3.2,0.85,Sótano con Cárcamo 24/7,Aluvión arenoso saturado del Río Tijuana,Bitácora de obra civil y losa de supresión con achique continuo,Verificado
P02,New City Medical Plaza,Centro - Zona Río,32.5381,-117.0289,2.8,0.90,Sótano con Cárcamo 24/7,Aluvión fluvial saturado próximo a canalización,Cimentación profunda con pilotes y bombeo permanente de freático,Verificado
P03,Plaza Río Tijuana / Sótanos Comerciales,Centro - Zona Río,32.5262,-117.0185,3.8,0.80,Sótano con Cárcamo 24/7,Aluvión del Río Tijuana manto freático somero,Pozos de alivio piezométrico contra subpresión hidrostática,Verificado
P04,Puente El Chaparral / Garita Internacional,Centro - Chaparral,32.5422,-117.0341,2.5,0.95,Obra Pública con Sobredrenaje,Aluvión limoso-arcilloso con freático somero,Obras de rehabilitación SIDURT 2023-2024 con partidas de achique continuo,Verificado
P05,Arroyo Alamar / Puente Murúa,Otay Centenario,32.5315,-116.9420,4.2,0.80,Piezometría Oficial CONAGUA,Aluvión grueso de alta transmisividad hidráulica,CONAGUA Determinación de Disponibilidad Acuífero Tijuana DR_0201 (Censo 2010),Verificado
P06,Cañón del Padre / San José del Rincón,Otay Centenario,32.5208,-116.9050,5.5,0.70,Aprovechamiento Concesionado REPDA,Aluvión fluvial permeable cuenca Alamar,Censo de aprovechamientos CONAGUA y pozos agrícolas someros,Verificado
P07,Parque Morelos / Humedal y Lago Urbano,La Mesa,32.5035,-116.9380,3.5,0.85,Afloramiento / Espejo de Agua,Aluvión fluvial de valle central,Espejo de agua perenne sustentado por manto freático somero del Río Tijuana,Verificado
P08,Fracc. Valle del Sur / Talud y Parque,San Antonio de los Buenos,32.4882,-117.0421,3.0,1.00,Medición Geofísica Directa,Paleocanal con limos y arcillas sobre discordancia,Delgado Argote et al. GEOS Vol. 37 No. 2 (2017) Unión Geofísica Mexicana (Tomografía Dipolo-Dipolo),Verificado
P09,Lomas del Rubí / Calle Mirador,San Antonio de los Buenos,32.4975,-117.0385,1.8,0.95,Deslizamiento Rotacional con Fuga,Fm. Otay / Fm. San Diego contacto arcilloso impermeable,Peritajes judiciales y dictamen Protección Civil colapso 2018 (saturación por fugas crónicas),Verificado
P10,Camino Verde / Cañón de las Carretas,Sánchez Taboada,32.4820,-116.9980,2.2,0.95,Deslizamiento Rotacional con Fuga,Fm. Otay arcillas expansivas saturadas,Declaratoria de Emergencia Geológica municipal 2022 y sondeos geotécnicos con freático a 2m,Verificado
P11,Sánchez Taboada / Calle Casiopea,Sánchez Taboada,32.4760,-116.9855,2.0,0.95,Deslizamiento Rotacional con Fuga,Areniscas y limolitas con paleocanal de arcilla,Deslindes CESPT agua sin cloro / peritajes geológicos de agrietamiento estructural,Verificado
P12,Cañón del Matadero / Desarenador,Playas de Tijuana,32.5290,-117.0985,1.5,1.00,Obra Pública con Sobredrenaje,Arenas limosas colapsables saturadas,Colapso de terraplén carretero 2023 y cárcamos de achique forzado de emergencia,Verificado
P13,Playas de Tijuana / Pozo 001 Los Sauces,Playas de Tijuana,32.5225,-117.1180,3.8,0.85,Medición Piezométrica Directa,Aluvión costero sobre terraza marina colapsable,Pozo piloto experimental AquaResiliencia Caso 001 perforado y aforado en 2022,Verificado
P14,El Faro / Malecón Playas,Playas de Tijuana,32.5335,-117.1235,2.1,0.95,Interfase Marina / Freático Costero,Arenas de playa y aluvión costero saturado,Sótanos de condominios costeros con bombas sumergibles de freático continuo,Verificado
P15,Cañón de Los Laureles / Vertedero Binacional,Playas de Tijuana,32.5385,-117.1080,1.8,0.95,Afloramiento / Flujo Somero,Aluvión y azolve en lecho de cañada,Estudios transfronterizos CILA/EPA flujo base subterráneo y superficial continuo,Verificado
